week_start,week,country,iso3,new_confirmed_cases,new_deaths,perc_change_conf_cases,perc_change_deaths
2023-06-03,23,Peru,PER,0,0,NA,NA
2023-06-10,24,Peru,PER,0,0,NA,NA
2023-06-17,25,Peru,PER,0,0,NA,NA
2023-06-24,26,Peru,PER,12,0,NA,NA
2023-07-01,27,Peru,PER,0,0,NA,NA
2023-07-08,28,Peru,PER,0,0,NA,NA
2023-07-15,29,Peru,PER,0,0,NA,NA
2022-05-14,20,Spain,ESP,23,0,NA,NA
2022-05-21,20,Spain,ESP,17,0,-26.086956521739136,NA
2022-05-28,22,Spain,ESP,146,0,758.8235294117646,NA
2022-06-04,23,Spain,ESP,73,0,-50,NA
2022-06-11,24,Spain,ESP,238,0,226.027397260274,NA
2022-06-18,25,Spain,ESP,239,0,0.42016806722688926,NA
2022-06-25,26,Spain,ESP,64,0,-73.22175732217573,NA
2022-07-02,27,Spain,ESP,677,0,957.8125,NA
2022-07-09,27,Spain,ESP,557,0,-17.725258493353024,NA
2022-07-09,28,Spain,ESP,413,0,-25.852782764811487,NA
2022-07-16,29,Spain,ESP,678,0,64.16464891041163,NA
2022-07-23,30,Spain,ESP,613,0,-9.587020648967549,NA
2022-07-30,31,Spain,ESP,839,2,36.86786296900488,NA
2022-08-06,32,Spain,ESP,693,0,-17.40166865315852,NA
2022-08-13,32,Spain,ESP,449,0,-35.20923520923521,NA
2022-08-13,33,Spain,ESP,73,0,-83.74164810690424,NA
2022-08-20,34,Spain,ESP,667,0,813.6986301369863,NA
2022-08-27,35,Spain,ESP,84,0,-87.40629685157421,NA
2022-09-03,35,Spain,ESP,102,0,21.42857142857142,NA
2022-09-03,36,Spain,ESP,104,0,1.9607843137254832,NA
2022-09-10,36,Spain,ESP,143,0,37.5,NA
2022-09-10,37,Spain,ESP,55,0,-61.53846153846154,NA
2022-09-17,38,Spain,ESP,136,0,147.27272727272725,NA
2022-09-24,39,Spain,ESP,105,0,-22.79411764705882,NA
2022-10-01,40,Spain,ESP,21,0,-80,NA
2022-10-08,41,Spain,ESP,30,0,42.85714285714286,NA
2022-10-15,42,Spain,ESP,38,0,26.66666666666666,NA
2022-10-22,43,Spain,ESP,40,0,5.263157894736836,NA
2022-10-29,44,Spain,ESP,19,0,-52.5,NA
2022-11-05,45,Spain,ESP,0,0,NA,NA
2022-11-12,45,Spain,ESP,41,0,NA,NA
2022-11-12,46,Spain,ESP,15,1,-63.41463414634146,NA
2022-11-19,47,Spain,ESP,13,0,-13.33333333333333,NA
2022-11-26,48,Spain,ESP,3,0,-76.92307692307692,NA
2022-12-03,49,Spain,ESP,4,0,33.33333333333333,NA
2022-12-10,50,Spain,ESP,4,0,0,NA
2022-12-17,51,Spain,ESP,80,0,1900,NA
